"","fullname","y1939","y1940","y1941","y1942","y1943","y1944","y1945"
"394","Schmid Karl",0,14,0,0,0,0,0
"395","Schmid Rudolf",0,4,0,0,2,8,0
"396","Schmidt Erich",0,17,30,0,0,0,0
"397","Schmidt Heinz",0,2,5,60,32,0,0
"398","Schmidt Rudolf",0,4,4,4,1,3,0
"399","Schmitz Hans",0,6,3,0,0,3,0
"400","Schmoller-Haldy Hans",0,5,2,4,0,0,0
"401","Schnabel Heinz",0,6,0,0,0,0,0
"402","Schneider Hugo",0,2,7,2,0,0,0
"403","Schneider Walter",0,11,9,0,0,0,0
"404","Schnell Karl-Heinz",0,13,26,16,7,0,0
"405","Schnell Siegfried (Wumm)",0,20,39,23,13,6,0
"406","Schnoor Emil",0,4,0,0,4,7,0
"407","Scholz Gunter",0,11,0,0,0,0,0
"408","Scholz Gunther",0,5,15,4,3,0,0
"409","Schonherr Johann",0,3,4,0,0,0,0
"410","Schopfel Gerd",0,5,8,1,0,0,0
"411","Schöpfel Gerhard (Gerd)",0,25,14,10,0,0,0
"412","Schott Georg (Murr)",0,13,1,0,4,0,0
"413","Schramm Herbert",0,9,1,1,4,0,0
"414","Schulte Hans-Georg",0,10,0,0,3,0,0
"415","Schultz Ernst-Albrecht",0,5,0,5,1,0,0
"416","Schulz Karl",0,2,0,0,4,0,0
"417","Schulz Otto",0,8,52,43,0,0,0
"418","Schulze-Blanck Gunther",0,13,0,0,0,0,0
"419","Schumacher Leo",0,4,0,0,1,3,0
"420","Schumann Friedrich",0,1,1,1,6,0,0
"421","Schumann Walter",0,4,0,8,2,0,0
"422","Seeger Günther (Hupatz)",0,4,15,7,19,9,2
"423","Seelman Georg",0,2,36,1,0,0,0
"424","Segatz Hermann",0,5,11,5,0,7,0
"425","Seifert Johannes (Hannes)",0,8,16,18,15,0,0
"426","Seiler Reinhard",0,3,39,39,18,0,0
"427","Selle Erich von",0,8,2,0,0,0,0
"428","Senoner Kurt",0,2,0,0,4,3,0
"429","Setz Heinrich",0,5,0,41,3,0,0
"430","Sidow Kurt",0,13,0,0,0,0,0
"431","Sommer Botho",0,11,0,0,0,0,0
"432","Sommer Hermann",0,2,8,3,3,0,0
"433","Sonner Michael",0,6,0,2,0,0,0
"434","Spitzer Lambert",0,4,2,0,0,0,0
"435","Sprenger Gerhard",0,10,0,0,0,0,0
"436","Sprick Gustav (Micky)",0,23,8,0,0,0,0
"437","Springer Herbert",0,4,0,6,0,0,0
"438","Staege Hermann",0,10,0,6,2,0,0
"439","Staiger Hermann",0,10,17,0,9,30,0
"440","Stange Willy",0,11,2,0,0,0,0
"441","Stangl Anton",0,10,0,0,0,0,0
"442","Stechmann Hans",0,9,1,0,0,0,0
"443","Steffen Karl",0,1,0,1,11,0,0
"444","Steffens Hans-Joachim",0,1,10,0,0,0,0
"445","Stendel Fritz",0,8,0,5,7,0,0
"446","Stengel Walter",0,2,10,6,0,0,0
"447","Stolle Bruno",0,3,12,16,4,0,0
"448","Strack Oskar",0,6,0,0,0,0,0
"449","Strakeljahn Friedrich-Wilhelm",0,5,0,3,0,0,0
"450","Straznicky Erwin",0,2,10,24,0,0,0
"451","Streib Werner",0,9,9,22,28,1,0
"452","Stritzel Fritz",0,12,1,3,0,0,0
"453","Strohlein Fritz",0,9,0,0,0,0,0
"454","Strüning Heinz",0,1,9,15,17,15,0
"455","Stumpf Werner (Stumpfen)",0,2,26,20,0,0,0
"456","Supke Heinz",0,7,0,0,0,0,0
"457","Tange Otto",0,2,34,19,0,0,0
"458","Taschner Rudolf",0,24,7,9,3,0,0
"459","Temme Paul",0,6,0,0,0,0,0
"460","Terry Ernst",0,10,0,0,0,0,0
"461","Tiedmann Helmut",0,12,0,0,0,0,0
"462","Tietzen Horst (Jakob)",0,20,0,0,0,0,0
"463","Tilly Hans",0,6,1,0,0,0,0
"464","Tismar Werner",0,14,0,13,0,0,0
"465","Tonne Wolfgang",0,4,9,90,19,0,0
"466","Tornow Heinrich",0,9,0,0,0,0,0
"467","Tratt Eduard",0,3,0,0,4,5,0
"468","Ubben Kurt (Kuddel)",0,1,61,37,14,0,0
"469","Ulenberg Horst",0,7,9,0,0,0,0
"470","Ultsch Fritz",0,6,0,0,0,0,0
"471","Umbach Hans",0,7,0,0,0,0,0
"472","Vogl Ferdinand",0,9,1,48,0,0,0
"473","Volk Josef",0,6,0,0,0,0,0
"474","Volker Heinz",0,5,9,0,0,0,0
"475","Votel Kurt",0,10,1,0,0,0,0
"476","Wagner Edmund",0,1,55,0,0,0,0
"477","Wandam Siegfried",0,1,0,8,5,0,0
"478","Wandel Joachim (Gnom)",0,2,0,46,0,0,0
"479","Weeber Hermann",0,6,0,0,0,0,0
"480","Wehmeyer Alfred",0,5,1,5,0,0,0
"481","Wehnelt Herbert",0,3,0,2,10,0,0
"482","Wemhoner Hans",0,12,0,0,0,0,0
"483","Wenzel Werner",0,2,1,8,0,0,0
"484","Werfft Peter",0,2,3,2,4,11,0
"485","Werra Franz von",0,8,13,0,0,0,0
"486","Wessling Otto",0,4,4,54,8,13,0
"487","Westerhoff Karl",0,7,0,0,0,0,0
"488","Westphal Hans-Jurgen",0,12,10,2,4,0,0
"489","Wiesinger Wilhelm",0,10,1,0,0,0,0
"490","Wiggers Ernst",0,12,0,0,0,0,0
"491","Willius Karl (Charly)",0,4,9,11,14,14,0
"492","Winterfeldt Alexander von",0,5,4,0,0,0,0
"493","Witzel Hans",0,6,8,0,0,0,0
"494","Woitke Erich",0,9,10,1,2,4,0
"495","Wubke Waldemar",0,6,5,2,2,0,0
"496","Zeis Alfred",0,6,0,0,0,0,0
"497","Ziehm Helmut",0,1,9,0,1,0,0
"498","Zilken Helmut",0,4,0,2,0,0,0
"499","Zirkenbach Igor",0,12,0,0,0,0,0
"500","Zweigart Eugen-Ludwig",0,1,8,45,6,8,0
"501","Zwernemann Josef",0,1,0,48,5,8,0
"502","Adam Hans-Gunther",0,0,4,2,0,0,0
"503","Ahnert Heinrich-Wilhelm",0,0,1,12,0,0,0
"504","Aistleitner Johann",0,0,4,8,1,2,0
"505","Alf Rudolf",0,0,4,1,2,0,0
"506","Aubrecht Hermann",0,0,7,6,0,0,0
"507","Augustin Jakob",0,0,9,6,0,0,0
"508","Autenrieth Hans",0,0,1,7,7,7,0
"509","Babenz Emil",0,0,7,14,2,0,0
